eschew	避開
munificent	慷慨的
refractory	倔強的
perfidy	背信棄義
complaisant	彬彬有禮的
clemency	寬容
obfuscate	使模糊；使混亂
brevity	簡潔
colloquial	口語的
salubrious	有益健康的
strident	刺耳的
milieu	社會環境
inscrutable	難以理解的
castigation	懲罰
capitulate	投降
inimical	不利的；敵意的
circumspect	謹慎的；慎重的
exculpate	開脫
incendiary	煽動的
furtive	偷偷摸摸的
hermetic	密封的；深奧的
parsimony	吝嗇
torpor	遲鈍
precocious	早熟的
halcyon	寧靜的
empirical	經驗主義的
burgeon	迅速成長
raucous	喧鬧的
reprobate	道德敗壞者
salient	顯著的
neologism	新詞
disconsolate	鬱鬱寡歡的
munificence	慷慨
despot	暴君
recalcitrant	不服從的
deleterious	有害的
invidious	招人怨恨的
bucolic	田園的
ephemeral	短暫的；轉瞬即逝的
assiduous	勤奮的
bastion	堡壘；堅固據點
excoriate	嚴厲批評
imperturbable	冷靜的
abstemious	節制的
prevaricate	支吾
importunate	糾纏不休的
craven	懦弱的
yearn	渴望
rescind	撤銷
sagacious	睿智的；有遠見的
nadir	谷底
parsimonious	吝嗇的
gauche	笨拙的
credence	信任；信念
insidious	暗中危害的
verbose	囉嗦的
moribund	垂死的
abnegate	放棄
apathy	冷漠
dissonance	不和諧
inept	無能的
placate	撫慰
effrontery	厚顏無恥
transient	短暫的
penurious	吝嗇的
effervescent	活潑的；興奮的
recondite	晦澀的；深奧的
commiserate	同情
impinge	侵犯
verdant	青翠的
grandiloquent	誇張的；浮誇的
insipid	無味的；乏味的
jejune	枯燥無味的
unflappable	鎮定的
sublime	崇高的
turpitude	卑鄙；墮落
hegemony	霸權
expatiate	詳述
debauch	使墮落
raillery	逗趣
lachrymose	愛哭的；催淚的
credulous	輕信的
sanguine	樂觀的
wheedle	哄騙
maudlin	感情脆弱的
misanthrope	厭世者
caustic	腐蝕性的；挖苦的
adroit	機巧的
evanescent	迅速消失的
quiescent	靜止的
affable	和藹可親的
vacillate	動搖
exegete	詮釋者
ineffable	難以言喻的
rancor	怨恨
pulchritude	美貌；（尤指女性的）體態美
dearth	缺乏
fervid	熱情的
xenophobia	排外主義
florid	絢麗的
fortuitous	偶然的
acerbic	尖刻的
aspersion	誹謗
jingoistic	沙文主義的
anachronistic	時代錯誤的
soporific	催眠的；令人昏昏欲睡的
felicitous	貼切的
ameliorate	改善
obsequies	葬禮
catalyst	催化劑
kismet	命運
juxtapose	並列
exigent	緊急的
pejorative	貶義的
emulate	模仿並超越
puerile	幼稚的
emollient	潤膚劑
grandstand	譁眾取寵
onerous	繁重的
insouciant	無憂無慮的
mendacious	虛假的；捏造的
impetuous	魯莽的
unctuous	虛情假意的
lurid	駭人的
demur	反對
nonchalant	冷淡的
propriety	得體
pugnacious	好鬥的
wizened	乾瘦的
truculent	尖酸刻薄的；好鬥的
pedant	賣弄學問者
hubris	驕傲
abrogate	廢除
adumbrate	預示；略微暗示
elicit	引出
garrulous	喋喋不休的
engender	產生
erudite	博學的
pellucid	清澈的
calumny	誹謗
interloper	闖入者
laconic	簡潔的
noxious	有毒的
supercilious	高傲的
waver	猶豫
palimpsest	重寫本；歷史痕跡
vociferous	喧嚷的；大聲疾呼的
lapidary	寶石的；言語精練的
antipathy	反感
ostracize	放逐
quixotic	不切實際的
commensurate	相稱的
veracity	誠實
libertine	放蕩者
fastidious	挑剔的；講究的
disabuse	糾正（錯誤觀念）
ingratiate	討好
ubiquity	普遍存在
vapid	乏味的
amorphous	無定形的
quandary	困境
panegyric	頌詞
immutable	不可改變的
facetious	滑稽的
languid	倦怠的
knell	喪鐘
repudiate	否認
eulogy	頌詞
myopic	短視的
paragon	模範
tawdry	俗氣的
artless	單純的
chicanery	詭計；狡辯
enervate	使衰弱
dichotomy	二分法
beneficent	慈善的
zealot	狂熱者
feckless	無效的
contumacious	頑固反抗的
esoteric	深奧的；只有少數人懂的
abstruse	深奧的
untenable	站不住腳的
gregarious	愛社交的；群居的
concomitant	伴隨的
officious	多管閒事的
foment	煽動
jettison	拋棄
umbrage	不悅
equivocate	含糊其詞
voluble	健談的
bombastic	誇大的
wane	衰退
predilection	偏好
boorish	粗野的
ubiquitous	無所不在的
adulation	諂媚
blandishment	奉承
ethereal	飄渺的
acumen	敏銳
beleaguer	圍攻
brusque	唐突的
egregious	極壞的
impugn	質疑
inchoate	初步的；未成熟的
belie	掩飾
pariah	賤民
visceral	內心的；本能的
perfunctory	敷衍的；馬虎的
iconoclast	反傳統者
indigent	貧窮的
aberration	偏差；異常現象
fractious	易怒的
corroborate	證實
morass	困境
disparage	貶低
arbiter	裁決者
nascent	初生的
oppobrium	辱罵
conundrum	難題
equanimity	鎮靜；平靜
plaintive	哀傷的
cogitate	深思
gainsay	否認
disparate	迥然不同的
impute	歸咎於
sacrosanct	神聖不可侵犯的
incisive	銳利的
nefarious	惡毒的
imbroglio	糾葛
censure	譴責
yokel	鄉巴佬
levity	輕率
meretricious	華而不實的
zeal	熱情
vituperative	謾罵的；責罵的
defenestration	拋出窗外
verisimilitude	逼真
quagmire	泥淖；困境
inveterate	根深蒂固的（習慣、偏見等）
peccadillo	小過失
ascetic	禁慾的
indefatigable	不屈不撓的
obtuse	遲鈍的
scurrilous	惡意中傷的
convivial	歡樂的
cathartic	宣洩情緒的
fallacious	謬誤的
mendicant	乞丐
acquiesce	默許
dilettante	業餘愛好者
anathema	詛咒；極討厭的事物
banal	陳腐的
turbid	混濁的
anachronism	時代錯誤
perfidious	背信棄義的
bane	禍根
malinger	裝病逃避工作
winsome	迷人的
cupidity	貪婪
obstreperous	喧鬧的
specious	似是而非的
spurious	偽造的
epitome	典型
