aberration	偏差；異常現象
internecine	內鬥的
inure	使習慣於
invective	辱罵
inveterate	根深蒂固的（習慣、偏見等）
invidious	招人怨恨的
jejune	枯燥無味的
jettison	拋棄
jingoistic	沙文主義的
jocular	詼諧的
juxtapose	並列
kismet	命運
knell	喪鐘
lachrymose	愛哭的；催淚的
laconic	簡潔的
languid	倦怠的
lapidary	寶石的；言語精練的
legerdemain	戲法；巧妙手法
levity	輕率
libertine	放蕩者
lucid	清楚的
lucubration	苦學
lurid	駭人的
magnanimous	寬宏大量的；有雅量的
magniloquent	言語誇張的
maladroit	笨拙的
malinger	裝病逃避工作
manifold	多樣的
maudlin	感情脆弱的
maverick	特立獨行者
mellifluous	悅耳動聽的
mendacious	虛假的；捏造的
mendicant	乞丐
meretricious	華而不實的
milieu	社會環境
milquetoast	膽小的人
misanthrope	厭世者
mitigate	減輕
morass	困境
moribund	垂死的
munificence	慷慨
munificent	慷慨的
myopic	短視的
nadir	谷底
nascent	初生的
nefarious	惡毒的
neologism	新詞
noisome	惡臭的
nonchalant	冷淡的
nonplussed	困惑的；不知所措的
noxious	有毒的
obdurate	頑固的；冷酷的
obfuscate	使模糊；使混亂
oblique	斜的；隱晦的
obsequies	葬禮
obsequious	諂媚的；逢迎的
obstreperous	喧鬧的
obtuse	遲鈍的
occlude	封閉
officious	多管閒事的
onerous	繁重的
onus	責任
oppobrium	辱罵
opprobrium	辱罵
ostracize	放逐
palimpsest	重寫本；歷史痕跡
panacea	萬靈藥；解決一切問題的方法
panegyric	頌詞
paragon	模範
pariah	賤民
parsimonious	吝嗇的
parsimony	吝嗇
peccadillo	小過失
pedant	賣弄學問者
pejorative	貶義的
pell-mell	混亂地
pellucid	清澈的
penurious	吝嗇的
perfidious	背信棄義的
perfidy	背信棄義
perfunctory	敷衍的；馬虎的
pernicious	致命的
perspicacious	有洞察力的
phlegmatic	冷靜的；遲鈍的
placate	撫慰
plaintive	哀傷的
precipitate	突然發生的
precocious	早熟的
predilection	偏好
prescient	有先見的
prevaricate	支吾
probity	誠實；正直
prodigal	揮霍的
propriety	得體
prosaic	乏味的
puerile	幼稚的
pugnacious	好鬥的
pulchritude	美貌；（尤指女性的）體態美
quagmire	泥淖；困境
quandary	困境
querulous	愛抱怨的
quibble	吹毛求疵
quiescent	靜止的
quixotic	不切實際的
raillery	逗趣
rancor	怨恨
rarefy	使稀薄
raucous	喧鬧的
recalcitrant	不服從的
reclusive	隱居的
recondite	晦澀的；深奧的
redolent	充滿…氣味的；讓人想起…的
refractory	倔強的
remonstrate	抗議
reprobate	道德敗壞者
repudiate	否認
rescind	撤銷
reticent	沉默的
sacrosanct	神聖不可侵犯的
sagacious	睿智的；有遠見的
salient	顯著的
salubrious	有益健康的
salutary	有益的
sanguine	樂觀的
scurrilous	惡意中傷的
sinecure	閒職
solipsistic	唯我主義的
soporific	催眠的；令人昏昏欲睡的
specious	似是而非的
spurious	偽造的
squalid	骯髒的
stolid	遲鈍的
strident	刺耳的
sublime	崇高的
supercilious	高傲的
tacit	默示的
taciturn	沉默寡言的
tantamount	等同於
tawdry	俗氣的
temerity	魯莽
torpor	遲鈍
transient	短暫的
trenchant	犀利的
truculent	尖酸刻薄的；好鬥的
turbid	混濁的
turpitude	卑鄙；墮落
ubiquitous	無所不在的
ubiquity	普遍存在
umbrage	不悅
unctuous	虛情假意的
unflappable	鎮定的
untenable	站不住腳的
vacillate	動搖
vapid	乏味的
venerable	令人尊敬的
venerate	尊敬
veracity	誠實
verbose	囉嗦的
verdant	青翠的
verisimilitude	逼真
vex	使惱火
vicissitude	變遷；興衰
visceral	內心的；本能的
vituperative	謾罵的；責罵的
vociferous	喧嚷的；大聲疾呼的
volatile	易變的
voluble	健談的
wane	衰退
waver	猶豫
wheedle	哄騙
winsome	迷人的
wizened	乾瘦的
xenophobia	排外主義
yearn	渴望
yokel	鄉巴佬
zeal	熱情
zealot	狂熱者
zephyr	微風
